epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,516.503,1.46163,1.78539,1.28045,0.6926,0.38085,0.41226,0.24803,1.23219,8.13562,1.03964,0.000678023,0.000678023,0.000678023
79,523.86,1.46068,1.73715,1.27171,0.76017,0.37428,0.44064,0.26997,1.18713,3.47528,1.0181,0.000675023,0.000675023,0.000675023
80,529.863,1.47752,1.78062,1.29182,0.74733,0.37134,0.41689,0.25447,1.24007,3.10386,1.02001,0.000672024,0.000672024,0.000672024
81,536.292,1.46649,1.71019,1.2617,0.75111,0.3719,0.42966,0.25862,1.26223,3.12742,1.02475,0.000669024,0.000669024,0.000669024
82,542.891,1.45711,1.68958,1.26224,0.70944,0.40579,0.44148,0.27487,1.20979,4.47386,1.02575,0.000666024,0.000666024,0.000666024
83,548.537,1.42554,1.70841,1.274,0.71579,0.36579,0.40478,0.25383,1.25513,4.75959,1.03794,0.000663025,0.000663025,0.000663025
84,555.817,1.46082,1.74413,1.25655,0.61466,0.42802,0.4322,0.25605,1.29227,4.30935,1.03723,0.000660025,0.000660025,0.000660025
85,561.364,1.37272,1.65929,1.24086,0.68825,0.40411,0.43087,0.26499,1.22001,4.18456,1.01343,0.000657025,0.000657025,0.000657025
86,568.867,1.41893,1.73892,1.26306,0.65516,0.43538,0.43796,0.27334,1.20736,5.15296,1.00645,0.000654025,0.000654025,0.000654025
87,574.79,1.42603,1.66459,1.23013,0.76755,0.36327,0.41777,0.25832,1.23455,5.21529,1.00872,0.000651026,0.000651026,0.000651026
88,582.295,1.44687,1.69146,1.25935,0.86422,0.35624,0.43373,0.26835,1.1831,4.57103,1.02709,0.000648026,0.000648026,0.000648026
89,587.955,1.4866,1.70237,1.28272,0.83135,0.35414,0.43392,0.265,1.20065,3.53886,1.03201,0.000645026,0.000645026,0.000645026
90,595.353,1.35254,1.55774,1.2346,0.72935,0.39675,0.44504,0.27557,1.1956,2.57323,1.02518,0.000642027,0.000642027,0.000642027
91,601.049,1.44383,1.66499,1.25996,0.71098,0.41798,0.44044,0.26648,1.23137,2.22737,1.01736,0.000639027,0.000639027,0.000639027
92,608.043,1.41111,1.63689,1.22214,0.71754,0.40788,0.44996,0.27357,1.2191,1.89143,1.02316,0.000636027,0.000636027,0.000636027
93,614.482,1.39857,1.59471,1.21925,0.68276,0.42386,0.45338,0.29135,1.18322,1.84648,0.99927,0.000633028,0.000633028,0.000633028
94,620.911,1.4248,1.65614,1.25854,0.81689,0.37601,0.44793,0.27872,1.19655,2.89455,1.01353,0.000630028,0.000630028,0.000630028
95,627.696,1.35378,1.51651,1.20612,0.6722,0.46399,0.45895,0.28191,1.21198,3.22941,1.02052,0.000627028,0.000627028,0.000627028
96,633.617,1.37597,1.56132,1.23291,0.74645,0.43402,0.47114,0.29496,1.22629,3.02496,1.03142,0.000624028,0.000624028,0.000624028
97,641.108,1.39554,1.55362,1.22031,0.77597,0.41139,0.47188,0.29581,1.2423,2.90587,1.05147,0.000621029,0.000621029,0.000621029
98,646.998,1.41805,1.64709,1.23535,0.84679,0.35789,0.4571,0.28818,1.23036,2.74226,1.03441,0.000618029,0.000618029,0.000618029
99,654.553,1.35946,1.5428,1.19074,0.70557,0.43566,0.45402,0.28084,1.19881,2.75264,1.02473,0.000615029,0.000615029,0.000615029
100,660.285,1.35146,1.57512,1.21707,0.73179,0.4728,0.49154,0.31012,1.18895,4.08019,1.00286,0.00061203,0.00061203,0.00061203
101,667.743,1.35924,1.60165,1.2446,0.84314,0.39949,0.46557,0.28666,1.20851,5.95953,1.01622,0.00060903,0.00060903,0.00060903
102,673.66,1.32813,1.47358,1.18174,0.6636,0.44934,0.43763,0.26669,1.27126,5.8384,1.06818,0.00060603,0.00060603,0.00060603
103,681.121,1.41161,1.63244,1.22814,0.71968,0.40084,0.44426,0.26986,1.24152,5.02607,1.06252,0.000603031,0.000603031,0.000603031
104,687.04,1.39872,1.59125,1.25903,0.74741,0.41169,0.44887,0.26724,1.22032,4.31226,1.02247,0.000600031,0.000600031,0.000600031
105,694.291,1.40194,1.54252,1.23107,0.79311,0.41258,0.43924,0.26974,1.23185,3.49022,1.01895,0.000597031,0.000597031,0.000597031
106,700.061,1.46297,1.67453,1.28187,0.8114,0.41872,0.44435,0.26453,1.24878,2.61296,1.02996,0.000594031,0.000594031,0.000594031
107,706.39,1.31541,1.41835,1.18105,0.69058,0.43979,0.45076,0.2649,1.21704,2.85389,1.02387,0.000591032,0.000591032,0.000591032
108,713.175,1.33119,1.53281,1.17682,0.76786,0.40857,0.45104,0.27431,1.18352,3.85529,1.00256,0.000588032,0.000588032,0.000588032
109,718.938,1.30231,1.44183,1.17697,0.75693,0.41671,0.46418,0.29088,1.18434,3.75456,1.0039,0.000585032,0.000585032,0.000585032
110,726.323,1.41575,1.6033,1.2157,0.75895,0.38513,0.45725,0.28596,1.22447,2.48622,1.00403,0.000582033,0.000582033,0.000582033
111,732.263,1.4057,1.57839,1.2263,0.77044,0.39832,0.44354,0.28518,1.20756,2.66522,1.00638,0.000579033,0.000579033,0.000579033
112,740.025,1.31698,1.44074,1.16988,0.69127,0.45286,0.45791,0.29325,1.19035,3.44512,0.99838,0.000576033,0.000576033,0.000576033
113,745.69,1.36088,1.48412,1.20991,0.70408,0.43427,0.45855,0.28848,1.17921,3.53575,1.00491,0.000573034,0.000573034,0.000573034
114,753.265,1.32869,1.50821,1.18569,0.82683,0.38408,0.45799,0.27767,1.17518,3.30089,0.99986,0.000570034,0.000570034,0.000570034
115,758.958,1.27778,1.40683,1.20886,0.78197,0.42147,0.4642,0.29597,1.14919,3.40174,0.99275,0.000567034,0.000567034,0.000567034
116,766.355,1.37996,1.56124,1.21006,0.75879,0.4459,0.47297,0.2914,1.21276,4.23339,1.02354,0.000564034,0.000564034,0.000564034
117,771.867,1.35349,1.52208,1.22736,0.72197,0.44271,0.4753,0.29437,1.22585,4.04544,1.04486,0.000561035,0.000561035,0.000561035
118,778.904,1.35381,1.50126,1.19444,0.70766,0.42614,0.47668,0.29791,1.20019,4.95703,1.01913,0.000558035,0.000558035,0.000558035
119,785.192,1.34587,1.43539,1.18095,0.7831,0.37696,0.45393,0.25803,1.29697,6.83605,1.02643,0.000555035,0.000555035,0.000555035
120,791.355,1.33055,1.43782,1.164,0.75475,0.43958,0.47259,0.28439,1.2289,5.37911,1.01197,0.000552036,0.000552036,0.000552036
121,798.476,1.34844,1.40038,1.15905,0.75254,0.44909,0.47801,0.28933,1.18398,4.0914,1.01596,0.000549036,0.000549036,0.000549036
